No,code,player_win,player_lose,position_win,wlA,wl1,wl2,wl3,llA,ll1,ll2,ll3,ww1,ww2,ww3,ww4,ww5,ww6,ww7,ww8,lw1,lw2,lw3,lw4,lw5,lw6,lw7,lw8
94,SEMABENA,HeirOfValyria,SPLINTER,1,汉谟拉比,诺查丹玛斯,诺贝尔,黛德丽,孙子,杰士卡,特蕾莎,无,马丘比丘,大教堂,埃菲尔铁塔,快餐连锁店,0,0,0,0,雅典卫城,大学,自由女神像,互联网,0,0,0,0
95,JENABENA,Dazzy,ChinaWanping,0,埃及艳后,杰士卡,瓦特,甘地,布狄卡,巴巴罗萨,诺贝尔,丘吉尔,斗兽场,长城,苏伊士运河,好莱坞,0,0,0,0,罗马大道,姬路城,红十字会,0,0,0,0,0
96,LANABENA,pv4,fu1luo,1,孔子,古藤堡,凯瑟琳大帝,曼德拉,埃及艳后,巴巴罗萨,达尔文,顾拜旦,雅典卫城,紫禁城,克里姆林宫,红十字会,互联网,0,0,0,罗马大道,自由女神像,帝国大厦,0,0,0,0,0
97,VENABENA,INVENTRIX,tangcupaizhang,0,孙子,古藤堡,达尔文,爱因斯坦,神医,无,巴赫,甘地,斗兽场,姬路城,远洋游轮,首飞,0,0,0,0,罗马大道,0,0,0,0,0,0,0
98,FANABENA,asdheinz,Lutaris,1,孔子,古藤堡,达尔文,顾拜旦,布狄卡,无,无,席德梅尔,空中花园,苏伊士运河,0,0,0,0,0,0,斗兽场,丝绸之路,0,0,0,0,0,0
99,FONABENA,Terrance,Dazzy,1,无,古藤堡,诺贝尔,比尔盖茨,埃及艳后,圣女贞德,库克,曼德拉,雅典卫城,0,0,0,0,0,0,0,罗马大道,紫禁城,哈佛大学,苏伊士运河,0,0,0,0
100,SINABENA,SPLINTER,PeaceSeeker,0,孙子,巴巴罗萨,罗伯斯比尔,丘吉尔,埃及艳后,圣女贞德,拿破仑,黛德丽,斗兽场,长城,大教堂,埃菲尔铁塔,0,0,0,0,空中花园,大学,0,0,0,0,0,0
101,PUNABENA,asdheinz,jskunsa,0,布狄卡,古藤堡,达尔文,黛德丽,亚里士多德,伊莎贝拉,高迪,顾拜旦,斗兽场,长城,0,0,0,0,0,0,金字塔,马丘比丘,哈佛大学,埃菲尔铁塔,0,0,0,0
102,MIRABENA,PeaceSeeker,SPLINTER,1,孔子,古藤堡,牛顿,席德梅尔,布狄卡,圣女贞德,凯瑟琳大帝,黛德丽,罗马大道,埃菲尔铁塔,曼哈顿计划,互联网,0,0,0,0,大图书馆,远洋游轮,红十字会,0,0,0,0,0
103,JELABENA,asdheinz,Terrance,1,摩西,成吉思汗,牛顿,爱因斯坦,孙子,诺查丹玛斯,莎士比亚,曼德拉,大图书馆,泰姬陵,埃菲尔铁塔,0,0,0,0,0,雅典卫城,大学,远洋游轮,曼哈顿计划,0,0,0,0
